ID | Original Label | Predicted Label | Query
--------------------------------------------------------------------------------
conv-26-q0 | multi hop | EPISODIC_SINGLE | When did Caroline go to the LGBTQ support group?
conv-26-q1 | multi hop | EPISODIC_SINGLE | When did Melanie paint a sunrise?
conv-26-q3 | single hop | EPISODIC_SINGLE | What did Caroline research?
conv-26-q4 | single hop | FACT | What is Caroline's identity?
conv-26-q5 | multi hop | EPISODIC_SINGLE | When did Melanie run a charity race?
conv-26-q6 | multi hop | EPISODIC_SINGLE | When is Melanie planning on going camping?
conv-26-q7 | single hop | FACT | What is Caroline's relationship status?
conv-26-q8 | multi hop | EPISODIC_SINGLE | When did Caroline give a speech at a school?
conv-26-q9 | multi hop | EPISODIC_SINGLE | When did Caroline meet up with her friends, family, and mentors?
conv-26-q10 | multi hop | MULTI_HOP | How long has Caroline had her current group of friends for?
conv-26-q11 | single hop | FACT | Where did Caroline move from 4 years ago?
conv-26-q12 | multi hop | MULTI_HOP | How long ago was Caroline's 18th birthday?
conv-26-q13 | single hop | EPISODIC_SINGLE | What career path has Caroline decided to persue?
conv-26-q15 | single hop | EPISODIC_SINGLE | What activities does Melanie partake in?
conv-26-q16 | multi hop | EPISODIC_SINGLE | When did Melanie sign up for a pottery class?
conv-26-q17 | multi hop | EPISODIC_SINGLE | When is Caroline going to the transgender conference?
conv-26-q18 | single hop | EPISODIC_SINGLE | Where has Melanie camped?
conv-26-q19 | single hop | MULTI_HOP | What do Melanie's kids like?
conv-26-q20 | multi hop | EPISODIC_SINGLE | When did Melanie go to the museum?
conv-26-q21 | multi hop | EPISODIC_SINGLE | When did Caroline have a picnic?
conv-26-q23 | single hop | EPISODIC_SINGLE | What books has Melanie read?
conv-26-q24 | single hop | EPISODIC_SINGLE | What does Melanie do to destress?
conv-26-q25 | multi hop | EPISODIC_SINGLE | When did Caroline go to the LGBTQ conference?
conv-26-q26 | multi hop | EPISODIC_SINGLE | When did Melanie read the book "nothing is impossible"?
conv-26-q28 | multi hop | EPISODIC_SINGLE | When did Caroline go to the adoption meeting?
conv-26-q29 | multi hop | EPISODIC_SINGLE | When did Melanie go to the pottery workshop?
conv-26-q31 | multi hop | EPISODIC_SINGLE | When did Melanie go camping in June?
conv-26-q32 | single hop | EPISODIC_SINGLE | What LGBTQ+ events has Caroline participated in?
conv-26-q33 | multi hop | EPISODIC_SINGLE | When did Caroline go to a pride parade during the summer?
conv-26-q34 | single hop | EPISODIC_SINGLE | What events has Caroline participated in to help children?
conv-26-q35 | multi hop | EPISODIC_SINGLE | When did Melanie go camping in July?
conv-26-q36 | multi hop | EPISODIC_SINGLE | When did Caroline join a mentorship program?
conv-26-q37 | single hop | EPISODIC_SINGLE | What did Melanie paint recently?
conv-26-q38 | single hop | EPISODIC_SINGLE | What activities has Melanie done with her family?
conv-26-q39 | single hop | MULTI_HOP | In what ways is Caroline participating in the LGBTQ community?
conv-26-q40 | single hop | EPISODIC_SINGLE | How many times has Melanie gone to the beach in 2023?
conv-26-q41 | multi hop | EPISODIC_SINGLE | When did Caroline join a new activist group?
conv-26-q43 | single hop | EPISODIC_SINGLE | What kind of art does Caroline make?
conv-26-q44 | multi hop | EPISODIC_SINGLE | When is Melanie's daughter's birthday?
conv-26-q45 | multi hop | EPISODIC_SINGLE | When did Caroline attend a pride parade in August?
conv-26-q47 | single hop | MULTI_HOP | Who supports Caroline when she has a negative experience?
conv-26-q48 | single hop | MULTI_HOP | What types of pottery have Melanie and her kids made?
conv-26-q49 | multi hop | EPISODIC_SINGLE | When did Caroline and Melanie go to a pride fesetival together?
